kw,ts,particles
0,2021-01-01 00:00:00,null
1,2021-01-04 00:00:00,null
2,2021-01-11 00:00:00,3.90
3,2021-01-18 00:00:00,3.00
4,2021-01-25 00:00:00,2.60
5,2021-02-01 00:00:00,null
6,2021-02-08 00:00:00,2.50
7,2021-02-15 00:00:00,4.60
8,2021-02-22 00:00:00,4.70
9,2021-03-01 00:00:00,3.80
10,2021-03-08 00:00:00,4.00
11,2021-03-15 00:00:00,3.70
12,2021-03-22 00:00:00,3.60
13,2021-03-29 00:00:00,null
14,2021-04-05 00:00:00,3.70
15,2021-04-12 00:00:00,4.00
16,2021-04-19 00:00:00,3.40
17,2021-04-26 00:00:00,3.20
18,2021-05-03 00:00:00,3.90
19,2021-05-10 00:00:00,null
20,2021-05-17 00:00:00,3.40
21,2021-05-24 00:00:00,3.70
22,2021-05-31 00:00:00,4.20
23,2021-06-07 00:00:00,4.60
24,2021-06-14 00:00:00,2.80
25,2021-06-21 00:00:00,4.60
26,2021-06-28 00:00:00,5.00
27,2021-07-05 00:00:00,5.20
28,2021-07-12 00:00:00,7.40
29,2021-07-19 00:00:00,null
30,2021-07-26 00:00:00,3.68
31,2021-08-02 00:00:00,3.90
32,2021-08-09 00:00:00,null
33,2021-08-16 00:00:00,2.90
34,2021-08-23 00:00:00,3.90
35,2021-08-30 00:00:00,null
36,2021-09-06 00:00:00,3.90
37,2021-09-13 00:00:00,4.30
38,2021-09-20 00:00:00,3.50
39,2021-09-27 00:00:00,4.00
40,2021-10-04 00:00:00,3.80
41,2021-10-11 00:00:00,6.20
42,2021-10-18 00:00:00,4.90
43,2021-10-25 00:00:00,null
44,2021-11-01 00:00:00,null
45,2021-11-08 00:00:00,null
46,2021-11-15 00:00:00,null
47,2021-11-22 00:00:00,null
48,2021-11-29 00:00:00,null
49,2021-12-06 00:00:00,null
50,2021-12-13 00:00:00,null
51,2021-12-20 00:00:00,null
52,2021-12-27 00:00:00,null
53,2022-01-01 00:00:00,null
