kw,ts,particles
1,2023-01-02 00:00:00,3.50
2,2023-01-09 00:00:00,4.50
3,2023-01-16 00:00:00,3.40
4,2023-01-23 00:00:00,3.70
5,2023-01-30 00:00:00,3.40
6,2023-02-06 00:00:00,null
7,2023-02-13 00:00:00,3.00
8,2023-02-20 00:00:00,3.90
9,2023-02-27 00:00:00,3.50
10,2023-03-06 00:00:00,null
11,2023-03-13 00:00:00,4.10
12,2023-03-20 00:00:00,3.70
13,2023-03-27 00:00:00,4.30
14,2023-04-03 00:00:00,3.90
15,2023-04-10 00:00:00,null
16,2023-04-17 00:00:00,3.60
17,2023-04-24 00:00:00,4.00
18,2023-05-01 00:00:00,3.30
19,2023-05-08 00:00:00,3.50
20,2023-05-15 00:00:00,null
21,2023-05-22 00:00:00,3.90
22,2023-05-29 00:00:00,null
23,2023-06-05 00:00:00,3.50
24,2023-06-12 00:00:00,3.80
25,2023-06-19 00:00:00,3.10
26,2023-06-26 00:00:00,4.80
27,2023-07-03 00:00:00,null
28,2023-07-10 00:00:00,3.60
29,2023-07-17 00:00:00,4.30
30,2023-07-24 00:00:00,2.53
31,2023-07-31 00:00:00,2.10
32,2023-08-07 00:00:00,2.80
33,2023-08-14 00:00:00,4.00
34,2023-08-21 00:00:00,3.80
35,2023-08-28 00:00:00,4.10
36,2023-09-04 00:00:00,4.10
37,2023-09-11 00:00:00,2.85
38,2023-09-18 00:00:00,null
39,2023-09-25 00:00:00,2.20
40,2023-10-02 00:00:00,null
41,2023-10-09 00:00:00,null
42,2023-10-16 00:00:00,null
43,2023-10-23 00:00:00,null
44,2023-10-30 00:00:00,null
45,2023-11-06 00:00:00,null
46,2023-11-13 00:00:00,null
47,2023-11-20 00:00:00,null
48,2023-11-27 00:00:00,null
49,2023-12-04 00:00:00,null
50,2023-12-11 00:00:00,null
51,2023-12-18 00:00:00,null
52,2023-12-25 00:00:00,null
53,2024-01-01 00:00:00,null
