kw,ts,particles
1,2029-01-01 00:00:00,null
2,2029-01-08 00:00:00,null
3,2029-01-15 00:00:00,null
4,2029-01-22 00:00:00,null
5,2029-01-29 00:00:00,null
6,2029-02-05 00:00:00,null
7,2029-02-12 00:00:00,null
8,2029-02-19 00:00:00,null
9,2029-02-26 00:00:00,null
10,2029-03-05 00:00:00,null
11,2029-03-12 00:00:00,null
12,2029-03-19 00:00:00,null
13,2029-03-26 00:00:00,null
14,2029-04-02 00:00:00,null
15,2029-04-09 00:00:00,null
16,2029-04-16 00:00:00,null
17,2029-04-23 00:00:00,null
18,2029-04-30 00:00:00,null
19,2029-05-07 00:00:00,null
20,2029-05-14 00:00:00,null
21,2029-05-21 00:00:00,null
22,2029-05-28 00:00:00,null
23,2029-06-04 00:00:00,null
24,2029-06-11 00:00:00,null
25,2029-06-18 00:00:00,null
26,2029-06-25 00:00:00,null
27,2029-07-02 00:00:00,null
28,2029-07-09 00:00:00,null
29,2029-07-16 00:00:00,null
30,2029-07-23 00:00:00,null
31,2029-07-30 00:00:00,null
32,2029-08-06 00:00:00,null
33,2029-08-13 00:00:00,null
34,2029-08-20 00:00:00,null
35,2029-08-27 00:00:00,null
36,2029-09-03 00:00:00,null
37,2029-09-10 00:00:00,null
38,2029-09-17 00:00:00,null
39,2029-09-24 00:00:00,null
40,2029-10-01 00:00:00,null
41,2029-10-08 00:00:00,null
42,2029-10-15 00:00:00,null
43,2029-10-22 00:00:00,null
44,2029-10-29 00:00:00,null
45,2029-11-05 00:00:00,null
46,2029-11-12 00:00:00,null
47,2029-11-19 00:00:00,null
48,2029-11-26 00:00:00,null
49,2029-12-03 00:00:00,null
50,2029-12-10 00:00:00,null
51,2029-12-17 00:00:00,null
52,2029-12-24 00:00:00,null
53,2029-12-31 00:00:00,null
