kw,ts,particles
1,2026-01-05 00:00:00,null
2,2026-01-12 00:00:00,null
3,2026-01-19 00:00:00,null
4,2026-01-26 00:00:00,null
5,2026-02-02 00:00:00,null
6,2026-02-09 00:00:00,null
7,2026-02-16 00:00:00,null
8,2026-02-23 00:00:00,null
9,2026-03-02 00:00:00,null
10,2026-03-09 00:00:00,null
11,2026-03-16 00:00:00,null
12,2026-03-23 00:00:00,null
13,2026-03-30 00:00:00,null
14,2026-04-06 00:00:00,null
15,2026-04-13 00:00:00,null
16,2026-04-20 00:00:00,null
17,2026-04-27 00:00:00,null
18,2026-05-04 00:00:00,null
19,2026-05-11 00:00:00,null
20,2026-05-18 00:00:00,null
21,2026-05-25 00:00:00,null
22,2026-06-01 00:00:00,null
23,2026-06-08 00:00:00,null
24,2026-06-15 00:00:00,null
25,2026-06-22 00:00:00,null
26,2026-06-29 00:00:00,null
27,2026-07-06 00:00:00,null
28,2026-07-13 00:00:00,null
29,2026-07-20 00:00:00,null
30,2026-07-27 00:00:00,null
31,2026-08-03 00:00:00,null
32,2026-08-10 00:00:00,null
33,2026-08-17 00:00:00,null
34,2026-08-24 00:00:00,null
35,2026-08-31 00:00:00,null
36,2026-09-07 00:00:00,null
37,2026-09-14 00:00:00,null
38,2026-09-21 00:00:00,null
39,2026-09-28 00:00:00,null
40,2026-10-05 00:00:00,null
41,2026-10-12 00:00:00,null
42,2026-10-19 00:00:00,null
43,2026-10-26 00:00:00,null
44,2026-11-02 00:00:00,null
45,2026-11-09 00:00:00,null
46,2026-11-16 00:00:00,null
47,2026-11-23 00:00:00,null
48,2026-11-30 00:00:00,null
49,2026-12-07 00:00:00,null
50,2026-12-14 00:00:00,null
51,2026-12-21 00:00:00,null
52,2026-12-28 00:00:00,null
53,2027-01-04 00:00:00,null
