kw,ts,particles
1,2027-01-04 00:00:00,null
2,2027-01-11 00:00:00,null
3,2027-01-18 00:00:00,null
4,2027-01-25 00:00:00,null
5,2027-02-01 00:00:00,null
6,2027-02-08 00:00:00,null
7,2027-02-15 00:00:00,null
8,2027-02-22 00:00:00,null
9,2027-03-01 00:00:00,null
10,2027-03-08 00:00:00,null
11,2027-03-15 00:00:00,null
12,2027-03-22 00:00:00,null
13,2027-03-29 00:00:00,null
14,2027-04-05 00:00:00,null
15,2027-04-12 00:00:00,null
16,2027-04-19 00:00:00,null
17,2027-04-26 00:00:00,null
18,2027-05-03 00:00:00,null
19,2027-05-10 00:00:00,null
20,2027-05-17 00:00:00,null
21,2027-05-24 00:00:00,null
22,2027-05-31 00:00:00,null
23,2027-06-07 00:00:00,null
24,2027-06-14 00:00:00,null
25,2027-06-21 00:00:00,null
26,2027-06-28 00:00:00,null
27,2027-07-05 00:00:00,null
28,2027-07-12 00:00:00,null
29,2027-07-19 00:00:00,null
30,2027-07-26 00:00:00,null
31,2027-08-02 00:00:00,null
32,2027-08-09 00:00:00,null
33,2027-08-16 00:00:00,null
34,2027-08-23 00:00:00,null
35,2027-08-30 00:00:00,null
36,2027-09-06 00:00:00,null
37,2027-09-13 00:00:00,null
38,2027-09-20 00:00:00,null
39,2027-09-27 00:00:00,null
40,2027-10-04 00:00:00,null
41,2027-10-11 00:00:00,null
42,2027-10-18 00:00:00,null
43,2027-10-25 00:00:00,null
44,2027-11-01 00:00:00,null
45,2027-11-08 00:00:00,null
46,2027-11-15 00:00:00,null
47,2027-11-22 00:00:00,null
48,2027-11-29 00:00:00,null
49,2027-12-06 00:00:00,null
50,2027-12-13 00:00:00,null
51,2027-12-20 00:00:00,null
52,2027-12-27 00:00:00,null
53,2028-01-03 00:00:00,null
