kw,ts,particles
1,2028-01-03 00:00:00,null
2,2028-01-10 00:00:00,null
3,2028-01-17 00:00:00,null
4,2028-01-24 00:00:00,null
5,2028-01-31 00:00:00,null
6,2028-02-07 00:00:00,null
7,2028-02-14 00:00:00,null
8,2028-02-21 00:00:00,null
9,2028-02-28 00:00:00,null
10,2028-03-06 00:00:00,null
11,2028-03-13 00:00:00,null
12,2028-03-20 00:00:00,null
13,2028-03-27 00:00:00,null
14,2028-04-03 00:00:00,null
15,2028-04-10 00:00:00,null
16,2028-04-17 00:00:00,null
17,2028-04-24 00:00:00,null
18,2028-05-01 00:00:00,null
19,2028-05-08 00:00:00,null
20,2028-05-15 00:00:00,null
21,2028-05-22 00:00:00,null
22,2028-05-29 00:00:00,null
23,2028-06-05 00:00:00,null
24,2028-06-12 00:00:00,null
25,2028-06-19 00:00:00,null
26,2028-06-26 00:00:00,null
27,2028-07-03 00:00:00,null
28,2028-07-10 00:00:00,null
29,2028-07-17 00:00:00,null
30,2028-07-24 00:00:00,null
31,2028-07-31 00:00:00,null
32,2028-08-07 00:00:00,null
33,2028-08-14 00:00:00,null
34,2028-08-21 00:00:00,null
35,2028-08-28 00:00:00,null
36,2028-09-04 00:00:00,null
37,2028-09-11 00:00:00,null
38,2028-09-18 00:00:00,null
39,2028-09-25 00:00:00,null
40,2028-10-02 00:00:00,null
41,2028-10-09 00:00:00,null
42,2028-10-16 00:00:00,null
43,2028-10-23 00:00:00,null
44,2028-10-30 00:00:00,null
45,2028-11-06 00:00:00,null
46,2028-11-13 00:00:00,null
47,2028-11-20 00:00:00,null
48,2028-11-27 00:00:00,null
49,2028-12-04 00:00:00,null
50,2028-12-11 00:00:00,null
51,2028-12-18 00:00:00,null
52,2028-12-25 00:00:00,null
53,2029-01-01 00:00:00,null
